timestamp,node_id,region,latitude,longitude,consumption_mu,year,month,dayofweek,dayofyear,is_weekend,is_holiday,temperature_c,humidity,lag_1d,lag_7d,lag_30d,roll_mean_7d,roll_std_7d,roll_mean_30d,dow_sin,dow_cos,month_sin,month_cos,doy_sin,doy_cos,target_next_1d,target_next_7d
2019-02-02,Andhra Pradesh,SR,14.7504291,78.57002559,164.2,2019,2,5,33,1,0,25.1,59,162.7,176.4,164.6,174.27142857142857,12.56008416714294,168.50666666666666,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0.5380051715382996,0.8429415373547828,163.7,149.8
2019-02-03,Andhra Pradesh,SR,14.7504291,78.57002559,163.7,2019,2,6,34,1,0,25.4,64,164.2,172.4,170.1,173.0285714285714,13.190743507691854,168.29333333333335,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,0.5524353131676196,0.8335557718385699,165.8,148.7
2019-02-04,Andhra Pradesh,SR,14.7504291,78.57002559,165.8,2019,2,0,35,0,0,26.0,64,163.7,181.0,165.2,170.85714285714286,12.907860285223794,168.31333333333336,0.0,1.0,0.8660254037844386,0.5000000000000001,0.5667017562911176,0.8239230057575542,165.2,153.8
2019-02-05,Andhra Pradesh,SR,14.7504291,78.57002559,165.2,2019,2,1,36,0,0,26.4,60,165.8,189.4,167.4,167.4,10.034772875689178,168.23999999999998,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,0.5808002734538009,0.8140460935082178,163.2,155.2
2019-02-06,Andhra Pradesh,SR,14.7504291,78.57002559,163.2,2019,2,2,37,0,0,27.4,52,165.2,189.8,171.2,163.6,1.77857620959405,167.97333333333333,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,0.5947266869607634,0.8039279618328213,152.8,157.5
2019-02-07,Andhra Pradesh,SR,14.7504291,78.57002559,152.8,2019,2,3,38,0,0,28.3,48,163.2,160.4,166.4,162.5142857142857,4.418306074892185,167.52,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,0.6084768701151261,0.7935716089521474,156.7,149.2
2019-02-08,Andhra Pradesh,SR,14.7504291,78.57002559,156.7,2019,2,4,39,0,0,29.3,56,152.8,162.7,160.8,161.65714285714284,4.9287784635605005,167.38333333333333,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0.6220467484408675,0.7829801036770629,149.8,148.1
2019-02-09,Andhra Pradesh,SR,14.7504291,78.57002559,149.8,2019,2,5,40,1,0,28.2,65,156.7,164.2,163.0,159.59999999999997,6.458327956987065,166.94333333333333,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0.6354323008901774,0.7721565844991642,148.7,151.5
2019-02-10,Andhra Pradesh,SR,14.7504291,78.57002559,148.7,2019,2,6,41,1,0,28.4,63,149.8,163.7,168.8,157.45714285714286,7.304304014952966,166.27333333333334,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,0.6486295610349814,0.7611042586607747,153.8,150.5
2019-02-11,Andhra Pradesh,SR,14.7504291,78.57002559,153.8,2019,2,0,42,0,0,27.7,61,148.7,165.8,167.7,155.74285714285716,6.368112525926192,165.81,0.0,1.0,0.8660254037844386,0.5000000000000001,0.6616346182422783,0.7498264012045686,155.2,159.5
2019-02-12,Andhra Pradesh,SR,14.7504291,78.57002559,155.2,2019,2,1,43,0,0,27.2,61,153.8,165.2,168.1,154.31428571428572,4.828536207254009,165.38,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,0.6744436188329455,0.7383263540031065,157.5,160.8
2019-02-13,Andhra Pradesh,SR,14.7504291,78.57002559,157.5,2019,2,2,44,0,0,26.7,60,155.2,163.2,164.9,153.5,3.3276618417943857,165.13333333333333,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,0.6870527672236669,0.7266075247685656,149.2,159.1
2019-02-14,Andhra Pradesh,SR,14.7504291,78.57002559,149.2,2019,2,3,45,0,0,27.3,55,157.5,152.8,163.3,152.9857142857143,3.7100892044212364,164.66333333333333,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,0.699458327051647,0.7146733860429609,148.1,197.0
2019-02-15,Andhra Pradesh,SR,14.7504291,78.57002559,148.1,2019,2,4,46,0,0,28.6,52,149.2,156.7,160.7,151.75714285714284,3.6990346230953675,164.24333333333334,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0.7116566222817746,0.7025274741691571,151.5,201.0
2019-02-16,Andhra Pradesh,SR,14.7504291,78.57002559,151.5,2019,2,5,47,1,0,29.9,49,148.1,149.8,155.2,152.0,3.603701800464047,164.12,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0.7236440382959124,0.6901733882429719,150.5,197.1
2019-02-17,Andhra Pradesh,SR,14.7504291,78.57002559,150.5,2019,2,6,48,1,0,30.0,50,151.5,148.7,161.8,152.25714285714284,3.3866685414319693,163.74333333333334,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,0.7354170229639855,0.6776147890466889,159.5,183.2
2019-02-18,Andhra Pradesh,SR,14.7504291,78.57002559,159.5,2019,2,0,49,0,0,30.1,56,150.5,153.8,169.9,153.07142857142858,4.3637576642593325,163.39666666666665,0.0,1.0,0.8660254037844386,0.5000000000000001,0.7469720876965552,0.6648553979642865,160.8,196.3
2019-02-19,Andhra Pradesh,SR,14.7504291,78.57002559,160.8,2019,2,1,50,0,0,30.5,59,159.5,155.2,166.0,153.87142857142857,5.243635598105134,163.22333333333333,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,0.7583058084785624,0.6518989958787126,159.1,197.3
2019-02-20,Andhra Pradesh,SR,14.7504291,78.57002559,159.1,2019,2,2,51,0,0,29.6,55,160.8,157.5,153.9,154.09999999999997,5.458632307333746,163.39666666666665,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,0.7694148268839378,0.6387494220515272,197.0,194.2
2019-02-21,Andhra Pradesh,SR,14.7504291,78.57002559,197.0,2019,2,3,52,0,0,28.8,53,159.1,149.2,153.3,160.92857142857142,16.67720143246607,164.85333333333332,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,0.7802958510707755,0.6254105729852463,201.0,182.9
2019-02-22,Andhra Pradesh,SR,14.7504291,78.57002559,201.0,2019,2,4,53,0,0,29.0,42,197.0,148.1,152.6,168.4857142857143,21.25303339693958,166.46666666666667,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0.7909456567567772,0.6118864012687243,197.1,187.8
2019-02-23,Andhra Pradesh,SR,14.7504291,78.57002559,197.1,2019,2,5,54,1,0,29.8,25,201.0,151.5,194.9,175.0,22.14858911985141,166.54,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0.8013610881746766,0.5981809144059165,183.2,191.0
2019-02-24,Andhra Pradesh,SR,14.7504291,78.57002559,183.2,2019,2,6,55,1,0,30.8,25,197.1,150.5,193.7,179.67142857142858,19.397569803604643,166.19,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,0.8115390590073611,0.5842981736283684,196.3,191.8
2019-02-25,Andhra Pradesh,SR,14.7504291,78.57002559,196.3,2019,2,0,56,0,0,30.9,30,183.2,159.5,176.4,184.92857142857142,17.95250347311988,166.85333333333335,0.0,1.0,0.8660254037844386,0.5000000000000001,0.8214765533024142,0.5702422926917871,197.3,190.0
2019-02-26,Andhra Pradesh,SR,14.7504291,78.57002559,197.3,2019,2,1,57,0,0,31.3,39,196.3,160.8,172.4,190.14285714285714,14.800321746824439,167.68333333333334,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,0.8311706263658079,0.5560174366570446,194.2,188.6
2019-02-27,Andhra Pradesh,SR,14.7504291,78.57002559,194.2,2019,2,2,58,0,0,30.9,49,197.3,159.1,181.0,195.15714285714287,5.64353823496611,168.12333333333333,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,0.8406184056344782,0.5416278206559814,182.9,182.7
2019-02-28,Andhra Pradesh,SR,14.7504291,78.57002559,182.9,2019,2,3,59,0,0,31.0,53,194.2,197.0,189.4,193.14285714285714,7.1825847582555085,167.90666666666667,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,0.8498170915275278,0.5270777086423722,187.8,175.5
2019-03-02,Andhra Pradesh,SR,14.7504291,78.57002559,187.8,2019,3,5,61,1,0,29.8,55,182.9,201.0,189.8,191.25714285714284,6.473756545432048,167.84,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,0.8674563547295969,0.49751328890718066,191.0,184.6
2019-03-03,Andhra Pradesh,SR,14.7504291,78.57002559,191.0,2019,3,6,62,1,0,30.0,52,187.8,197.1,160.4,190.3857142857143,5.945146079345935,168.86,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0.8758917051442429,0.48250774176121847,191.8,187.2
2019-03-04,Andhra Pradesh,SR,14.7504291,78.57002559,191.8,2019,3,0,63,0,1,31.5,48,191.0,183.2,162.7,191.6142857142857,5.031046468820281,169.82999999999998,0.0,1.0,1.0,6.123233995736766e-17,0.8840675099433636,0.4673592171580022,190.0,194.8
2019-03-05,Andhra Pradesh,SR,14.7504291,78.57002559,190.0,2019,3,1,64,0,0,33.6,34,191.8,196.3,164.2,190.71428571428572,4.597980923343307,170.69,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,0.8919813464595485,0.45207220393230435,188.6,190.4
2019-03-06,Andhra Pradesh,SR,14.7504291,78.57002559,188.6,2019,3,2,65,0,0,33.2,28,190.0,197.3,163.7,189.47142857142856,3.5854866177012297,171.52,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0.8996308696522433,0.43665123195606403,182.7,182.7
2019-03-07,Andhra Pradesh,SR,14.7504291,78.57002559,182.7,2019,3,3,66,0,0,32.1,32,188.6,194.2,165.8,187.82857142857142,3.6908509794329682,172.08333333333334,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,0.9070138128026359,0.4211008707960896,175.5,167.9
2019-03-08,Andhra Pradesh,SR,14.7504291,78.57002559,175.5,2019,3,4,67,0,0,31.9,53,182.7,182.9,165.2,186.77142857142857,5.796756071492161,172.42666666666668,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,0.9141279881853337,0.40542572835999735,184.6,148.6
2019-03-09,Andhra Pradesh,SR,14.7504291,78.57002559,184.6,2019,3,5,68,1,0,32.1,52,175.5,187.8,163.2,186.3142857142857,5.828215441976685,173.14,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,0.9209712877166346,0.38963044953078796,187.2,150.9
2019-03-10,Andhra Pradesh,SR,14.7504291,78.57002559,187.2,2019,3,6,69,1,0,32.2,50,184.6,191.0,152.8,185.77142857142854,5.4859560958610025,174.2866666666667,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0.9275416835791966,0.37371971479046906,194.8,155.8
2019-03-11,Andhra Pradesh,SR,14.7504291,78.57002559,194.8,2019,3,0,70,0,0,32.6,44,187.2,191.8,156.7,186.20000000000002,6.116371473349234,175.55666666666667,0.0,1.0,1.0,6.123233995736766e-17,0.9338372288229252,0.35769823883312546,190.4,146.435
2019-03-12,Andhra Pradesh,SR,14.7504291,78.57002559,190.4,2019,3,1,71,0,0,32.3,38,194.8,190.0,149.8,186.25714285714284,6.159506782975737,176.91,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,0.9398560579418954,0.3415707691678556,182.7,151.3
2019-03-13,Andhra Pradesh,SR,14.7504291,78.57002559,182.7,2019,3,2,72,0,0,32.2,34,190.4,188.6,148.7,185.41428571428574,6.189084092558619,178.04333333333335,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0.9455963874271426,0.3253420847119801,167.9,151.8
