timestamp,node_id,region,latitude,longitude,consumption_mu,year,month,dayofweek,dayofyear,is_weekend,is_holiday,temperature_c,humidity,lag_1d,lag_7d,lag_30d,roll_mean_7d,roll_std_7d,roll_mean_30d,dow_sin,dow_cos,month_sin,month_cos,doy_sin,doy_cos,target_next_1d,target_next_7d
2019-02-02,Goa,WR,15.491997,73.81800065,7.1,2019,2,5,33,1,0,24.9,63,6.867,13.5,12.8,10.023857142857143,3.0381382692130954,11.655566666666665,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0.5380051715382996,0.8429415373547828,7.2,10.1
2019-02-03,Goa,WR,15.491997,73.81800065,7.2,2019,2,6,34,1,0,25.3,61,7.1,13.5,13.7,9.123857142857142,2.7568794211675534,11.4389,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,0.5524353131676196,0.8335557718385699,7.2,12.3
2019-02-04,Goa,WR,15.491997,73.81800065,7.2,2019,2,0,35,0,0,25.8,61,7.2,13.5,12.6,8.223857142857144,2.020020827332516,11.2589,0.0,1.0,0.8660254037844386,0.5000000000000001,0.5667017562911176,0.8239230057575542,7.2,12.3
2019-02-05,Goa,WR,15.491997,73.81800065,7.2,2019,2,1,36,0,0,26.0,62,7.2,11.6,13.0,7.595285714285714,1.3764164479165586,11.065566666666665,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,0.5808002734538009,0.8140460935082178,7.2,12.3
2019-02-06,Goa,WR,15.491997,73.81800065,7.2,2019,2,2,37,0,0,25.8,68,7.2,10.7,12.9,7.095285714285715,0.14951779636073304,10.875566666666666,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,0.5947266869607634,0.8039279618328213,10.1,12.3
2019-02-07,Goa,WR,15.491997,73.81800065,10.1,2019,2,3,38,0,0,25.1,63,7.2,6.9,12.7,7.552428571428572,1.1300035187471549,10.788900000000002,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,0.6084768701151261,0.7935716089521474,10.1,9.8
2019-02-08,Goa,WR,15.491997,73.81800065,10.1,2019,2,4,39,0,0,23.9,58,10.1,6.867,10.9,8.014285714285714,1.425281926998505,10.762233333333333,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0.6220467484408675,0.7829801036770629,10.1,11.5
2019-02-09,Goa,WR,15.491997,73.81800065,10.1,2019,2,5,40,1,0,22.7,61,10.1,7.1,12.1,8.442857142857143,1.5501152030920622,10.695566666666668,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0.6354323008901774,0.7721565844991642,12.3,11.5
2019-02-10,Goa,WR,15.491997,73.81800065,12.3,2019,2,6,41,1,0,24.1,61,10.1,7.2,12.1,9.171428571428573,2.0014280615885975,10.702233333333334,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,0.6486295610349814,0.7611042586607747,12.3,11.5
2019-02-11,Goa,WR,15.491997,73.81800065,12.3,2019,2,0,42,0,0,24.8,69,12.3,7.2,12.1,9.9,2.0904544960366884,10.708900000000002,0.0,1.0,0.8660254037844386,0.5000000000000001,0.6616346182422783,0.7498264012045686,12.3,11.5
2019-02-12,Goa,WR,15.491997,73.81800065,12.3,2019,2,1,43,0,0,27.4,62,12.3,7.2,12.2,10.62857142857143,1.8696829372153698,10.712233333333332,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,0.6744436188329455,0.7383263540031065,12.3,11.5
2019-02-13,Goa,WR,15.491997,73.81800065,12.3,2019,2,2,44,0,0,27.2,58,12.3,7.2,12.4,11.357142857142858,1.1759494644146706,10.7089,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,0.6870527672236669,0.7266075247685656,9.8,11.9
2019-02-14,Goa,WR,15.491997,73.81800065,9.8,2019,2,3,45,0,0,26.4,60,12.3,10.1,12.4,11.314285714285715,1.233462026747714,10.622233333333334,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,0.699458327051647,0.7146733860429609,11.5,12.4
2019-02-15,Goa,WR,15.491997,73.81800065,11.5,2019,2,4,46,0,0,25.5,68,9.8,10.1,12.4,11.514285714285714,1.1111984092689804,10.592233333333333,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0.7116566222817746,0.7025274741691571,11.5,11.8
2019-02-16,Goa,WR,15.491997,73.81800065,11.5,2019,2,5,47,1,0,25.4,58,11.5,10.1,11.3,11.714285714285714,0.9245333443212919,10.598899999999999,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0.7236440382959124,0.6901733882429719,11.5,12.3
2019-02-17,Goa,WR,15.491997,73.81800065,11.5,2019,2,6,48,1,0,23.9,66,11.5,12.3,11.3,11.6,0.8888194417315629,10.605566666666668,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,0.7354170229639855,0.6776147890466889,11.5,12.3
2019-02-18,Goa,WR,15.491997,73.81800065,11.5,2019,2,0,49,0,0,23.3,71,11.5,12.3,11.3,11.485714285714286,0.8335237877600805,10.612233333333334,0.0,1.0,0.8660254037844386,0.5000000000000001,0.7469720876965552,0.6648553979642865,11.5,12.3
2019-02-19,Goa,WR,15.491997,73.81800065,11.5,2019,2,1,50,0,0,24.0,77,11.5,12.3,11.8,11.37142857142857,0.7543524501502105,10.602233333333334,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,0.7583058084785624,0.6518989958787126,11.9,12.3
2019-02-20,Goa,WR,15.491997,73.81800065,11.9,2019,2,2,51,0,0,25.2,80,11.5,12.3,11.8,11.314285714285715,0.6841748592978586,10.605566666666666,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,0.7694148268839378,0.6387494220515272,12.4,12.3
2019-02-21,Goa,WR,15.491997,73.81800065,12.4,2019,2,3,52,0,0,26.1,78,11.9,9.8,11.8,11.685714285714287,0.34846602621859474,10.625566666666666,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,0.7802958510707755,0.6254105729852463,11.8,9.8
2019-02-22,Goa,WR,15.491997,73.81800065,11.8,2019,2,4,53,0,0,26.9,70,12.4,11.5,8.2,11.72857142857143,0.3401680257083149,10.745566666666667,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0.7909456567567772,0.6118864012687243,12.3,10.2
