timestamp,node_id,region,latitude,longitude,consumption_mu,year,month,dayofweek,dayofyear,is_weekend,is_holiday,temperature_c,humidity,lag_1d,lag_7d,lag_30d,roll_mean_7d,roll_std_7d,roll_mean_30d,dow_sin,dow_cos,month_sin,month_cos,doy_sin,doy_cos,target_next_1d,target_next_7d
2019-02-02,Haryana,NR,28.45000633,77.01999101,67.67099999999999,2019,2,5,33,1,0,12.0,83,68.1,155.2,130.3,110.84885714285714,40.35819737644626,145.60473333333331,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0.5380051715382996,0.8429415373547828,67.67099999999999,116.2
2019-02-03,Haryana,NR,28.45000633,77.01999101,67.67099999999999,2019,2,6,34,1,0,12.0,82,67.67099999999999,143.2,133.5,100.059,40.36394504174905,143.41043333333334,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,0.5524353131676196,0.8335557718385699,71.3,119.5
2019-02-04,Haryana,NR,28.45000633,77.01999101,71.3,2019,2,0,35,0,0,13.1,76,67.67099999999999,138.9,128.2,90.40185714285714,37.508048689263944,141.51376666666664,0.0,1.0,0.8660254037844386,0.5000000000000001,0.5667017562911176,0.8239230057575542,70.3,122.5
2019-02-05,Haryana,NR,28.45000633,77.01999101,70.3,2019,2,1,36,0,0,15.6,77,71.3,148.6,127.5,79.21614285714284,27.63554986744782,139.6071,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,0.5808002734538009,0.8140460935082178,71.2,117.4
2019-02-06,Haryana,NR,28.45000633,77.01999101,71.2,2019,2,2,37,0,0,17.3,84,70.3,141.8,132.6,69.13042857142857,1.7228678472397796,137.56043333333335,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,0.5947266869607634,0.8039279618328213,96.2,104.3
2019-02-07,Haryana,NR,28.45000633,77.01999101,96.2,2019,2,3,38,0,0,15.8,88,71.2,67.67099999999999,132.1,73.206,10.264578494349953,136.36376666666666,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,0.6084768701151261,0.7935716089521474,105.6,118.9
2019-02-08,Haryana,NR,28.45000633,77.01999101,105.6,2019,2,4,39,0,0,12.3,69,96.2,68.1,121.4,78.56314285714286,15.570145433152785,135.83710000000002,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0.6220467484408675,0.7829801036770629,116.2,125.6
2019-02-09,Haryana,NR,28.45000633,77.01999101,116.2,2019,2,5,40,1,0,12.0,67,105.6,67.67099999999999,148.2,85.49585714285715,20.06669346976548,134.77043333333333,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0.6354323008901774,0.7721565844991642,119.5,129.1
2019-02-10,Haryana,NR,28.45000633,77.01999101,119.5,2019,2,6,41,1,0,12.0,72,116.2,67.67099999999999,157.0,92.89999999999999,21.874033311973765,133.52043333333333,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,0.6486295610349814,0.7611042586607747,122.5,126.4
2019-02-11,Haryana,NR,28.45000633,77.01999101,122.5,2019,2,0,42,0,0,13.7,67,119.5,71.3,145.3,100.21428571428571,22.007379714649502,132.76043333333334,0.0,1.0,0.8660254037844386,0.5000000000000001,0.6616346182422783,0.7498264012045686,117.4,125.1
2019-02-12,Haryana,NR,28.45000633,77.01999101,117.4,2019,2,1,43,0,0,15.2,72,122.5,70.3,151.9,106.94285714285715,18.209508243667514,131.61043333333333,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,0.6744436188329455,0.7383263540031065,104.3,127.3
2019-02-13,Haryana,NR,28.45000633,77.01999101,104.3,2019,2,2,44,0,0,16.7,71,117.4,71.2,141.4,111.67142857142858,9.681892770478942,130.37376666666665,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,0.6870527672236669,0.7266075247685656,118.9,118.2
2019-02-14,Haryana,NR,28.45000633,77.01999101,118.9,2019,2,3,45,0,0,16.9,81,104.3,96.2,143.8,114.91428571428571,7.091174931192066,129.54376666666667,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,0.699458327051647,0.7146733860429609,125.6,165.3
2019-02-15,Haryana,NR,28.45000633,77.01999101,125.6,2019,2,4,46,0,0,15.7,84,118.9,105.6,142.9,117.77142857142859,6.732932567045801,128.9671,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0.7116566222817746,0.7025274741691571,129.1,173.6
2019-02-16,Haryana,NR,28.45000633,77.01999101,129.1,2019,2,5,47,1,0,14.0,84,125.6,116.2,180.5,119.61428571428571,7.896081005036634,127.25376666666668,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0.7236440382959124,0.6901733882429719,126.4,179.3
2019-02-17,Haryana,NR,28.45000633,77.01999101,126.4,2019,2,6,48,1,0,14.4,80,129.1,119.5,196.4,120.60000000000001,8.299799194358371,124.92043333333332,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,0.7354170229639855,0.6776147890466889,125.1,185.9
2019-02-18,Haryana,NR,28.45000633,77.01999101,125.1,2019,2,0,49,0,0,16.5,71,126.4,122.5,193.9,120.97142857142856,8.455710946990372,122.6271,0.0,1.0,0.8660254037844386,0.5000000000000001,0.7469720876965552,0.6648553979642865,127.3,189.1
2019-02-19,Haryana,NR,28.45000633,77.01999101,127.3,2019,2,1,50,0,0,17.2,72,125.1,117.4,201.8,122.38571428571429,8.585730132304839,120.14376666666665,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,0.7583058084785624,0.6518989958787126,118.2,188.4
2019-02-20,Haryana,NR,28.45000633,77.01999101,118.2,2019,2,2,51,0,0,17.4,80,127.3,104.3,192.3,124.37142857142858,4.185576139440439,117.67376666666668,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,0.7694148268839378,0.6387494220515272,165.3,182.0
2019-02-21,Haryana,NR,28.45000633,77.01999101,165.3,2019,2,3,52,0,0,19.3,77,118.2,118.9,182.9,131.0,15.50677271388236,117.08709999999999,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,0.7802958510707755,0.6254105729852463,173.6,123.5
2019-02-22,Haryana,NR,28.45000633,77.01999101,173.6,2019,2,4,53,0,0,17.8,72,165.3,125.6,178.2,137.85714285714286,21.981875651155537,116.93376666666667,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0.7909456567567772,0.6118864012687243,179.3,116.3
2019-02-23,Haryana,NR,28.45000633,77.01999101,179.3,2019,2,5,54,1,0,14.9,63,173.6,129.1,150.5,145.02857142857144,26.394552107440468,117.89376666666666,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001,0.8013610881746766,0.5981809144059165,185.9,123.1
2019-02-24,Haryana,NR,28.45000633,77.01999101,185.9,2019,2,6,55,1,0,15.2,66,179.3,126.4,154.7,153.52857142857144,28.860972164598422,118.93376666666667,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001,0.8115390590073611,0.5842981736283684,189.1,124.0
2019-02-25,Haryana,NR,28.45000633,77.01999101,189.1,2019,2,0,56,0,0,15.7,61,185.9,125.1,155.2,162.67142857142858,28.488987011692654,120.06376666666667,0.0,1.0,0.8660254037844386,0.5000000000000001,0.8214765533024142,0.5702422926917871,188.4,125.6
2019-02-26,Haryana,NR,28.45000633,77.01999101,188.4,2019,2,1,57,0,0,15.7,66,189.1,127.3,143.2,171.4,24.99079830657702,121.57043333333334,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,0.8311706263658079,0.5560174366570446,182.0,124.7
2019-02-27,Haryana,NR,28.45000633,77.01999101,182.0,2019,2,2,58,0,0,13.2,80,188.4,118.2,138.9,180.5142857142857,8.639720013100886,123.00710000000001,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,0.8406184056344782,0.5416278206559814,123.5,116.3
2019-02-28,Haryana,NR,28.45000633,77.01999101,123.5,2019,2,3,59,0,0,12.8,70,182.0,165.3,148.6,174.54285714285714,23.156774181137664,122.17043333333335,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,0.8498170915275278,0.5270777086423722,116.3,186.0
2019-03-02,Haryana,NR,28.45000633,77.01999101,116.3,2019,3,5,61,1,0,15.1,71,123.5,173.6,141.8,166.35714285714286,31.988844781832974,121.32043333333333,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,0.8674563547295969,0.49751328890718066,123.1,204.4
2019-03-03,Haryana,NR,28.45000633,77.01999101,123.1,2019,3,6,62,1,0,15.7,80,116.3,179.3,67.67099999999999,158.32857142857142,35.10027133255609,123.16806666666668,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0.8758917051442429,0.48250774176121847,124.0,217.0
2019-03-04,Haryana,NR,28.45000633,77.01999101,124.0,2019,3,0,63,0,1,16.6,81,123.1,185.9,68.1,149.4857142857143,34.79240475407583,125.0314,0.0,1.0,1.0,6.123233995736766e-17,0.8840675099433636,0.4673592171580022,125.6,214.8
2019-03-05,Haryana,NR,28.45000633,77.01999101,125.6,2019,3,1,64,0,0,15.6,71,124.0,189.1,67.67099999999999,140.4142857142857,30.790335527641965,126.96236666666667,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,0.8919813464595485,0.45207220393230435,124.7,214.0
2019-03-06,Haryana,NR,28.45000633,77.01999101,124.7,2019,3,2,65,0,0,16.4,63,125.6,188.4,67.67099999999999,131.31428571428572,22.556996591703047,128.86333333333334,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0.8996308696522433,0.43665123195606403,116.3,218.3
2019-03-07,Haryana,NR,28.45000633,77.01999101,116.3,2019,3,3,66,0,0,17.5,59,124.7,182.0,71.3,121.92857142857143,3.9296794974129226,130.36333333333334,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,0.9070138128026359,0.4211008707960896,186.0,194.6
2019-03-08,Haryana,NR,28.45000633,77.01999101,186.0,2019,3,4,67,0,0,17.9,61,116.3,123.5,70.3,130.85714285714286,24.621457927511077,134.22,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,0.9141279881853337,0.40542572835999735,204.4,87.9
2019-03-09,Haryana,NR,28.45000633,77.01999101,204.4,2019,3,5,68,1,0,17.8,66,186.0,116.3,71.2,143.44285714285712,35.88206874112565,138.66,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,0.9209712877166346,0.38963044953078796,217.0,86.6
2019-03-10,Haryana,NR,28.45000633,77.01999101,217.0,2019,3,6,69,1,0,17.5,54,204.4,123.1,96.2,156.85714285714286,43.708041103930384,142.68666666666667,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0.9275416835791966,0.37371971479046906,214.8,93.4
2019-03-11,Haryana,NR,28.45000633,77.01999101,214.8,2019,3,0,70,0,0,20.2,52,217.0,124.0,105.6,169.82857142857142,45.75721124535884,146.32666666666668,0.0,1.0,1.0,6.123233995736766e-17,0.9338372288229252,0.35769823883312546,214.0,102.4
2019-03-12,Haryana,NR,28.45000633,77.01999101,214.0,2019,3,1,71,0,0,19.3,59,214.8,125.6,116.2,182.45714285714283,43.667144672047634,149.58666666666667,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,0.9398560579418954,0.3415707691678556,218.3,108.4
2019-03-13,Haryana,NR,28.45000633,77.01999101,218.3,2019,3,2,72,0,0,17.6,66,214.0,124.7,119.5,195.82857142857145,36.82882540826407,152.88,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,0.9455963874271426,0.3253420847119801,194.6,114.4
2019-03-14,Haryana,NR,28.45000633,77.01999101,194.6,2019,3,3,73,0,0,17.0,73,218.3,116.3,122.5,207.0142857142857,12.510319549800206,155.28333333333333,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,0.9510565162951535,0.30901699437494745,87.9,112.5
2019-03-15,Haryana,NR,28.45000633,77.01999101,87.9,2019,3,4,74,0,0,17.3,67,194.6,186.0,117.4,193.0,47.10070770876678,154.3,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,0.9562348265919056,0.29260033563334836,86.6,114.5
2019-03-16,Haryana,NR,28.45000633,77.01999101,86.6,2019,3,5,75,1,0,17.5,58,87.9,204.4,104.3,176.17142857142858,61.26371177909803,153.71,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,0.9611297838723007,0.27609697309746883,93.4,114.2
2019-03-17,Haryana,NR,28.45000633,77.01999101,93.4,2019,3,6,76,1,0,19.6,50,86.6,217.0,118.9,158.51428571428573,65.21907769386276,152.85999999999999,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0.9657399376548549,0.2595117970697999,102.4,108.2
2019-03-18,Haryana,NR,28.45000633,77.01999101,102.4,2019,3,0,77,0,0,19.9,51,93.4,214.8,125.6,142.45714285714286,62.84514982990228,152.08666666666667,0.0,1.0,1.0,6.123233995736766e-17,0.9700639218515071,0.2428497220959356,108.4,100.3
