node,horizon,model,MAE,RMSE,MAPE_%
Andhra_Pradesh,medium-term (7 day),RandomForest,10.9978,13.0144,6.45
Andhra_Pradesh,short-term (1 day),XGBoost,8.5247,11.9645,5.05
Arunachal_Pradesh,medium-term (7 day),XGBoost,0.2083,0.2779,10.7
Arunachal_Pradesh,short-term (1 day),RandomForest,0.1923,0.2469,9.84
Assam,medium-term (7 day),XGBoost,3.3109,4.0119,14.24
Assam,short-term (1 day),XGBoost,2.0682,2.7322,8.82
Bihar,medium-term (7 day),RandomForest,11.903,14.7893,15.17
Bihar,short-term (1 day),RandomForest,9.1201,12.5803,11.65
Chandigarh,medium-term (7 day),XGBoost,0.5314,0.7021,14.54
Chandigarh,short-term (1 day),XGBoost,0.451,0.6302,11.97
Chhattisgarh,medium-term (7 day),XGBoost,7.3887,9.257,9.41
Chhattisgarh,short-term (1 day),RandomForest,6.4132,7.8559,8.05
DNH,medium-term (7 day),RandomForest,4.0915,5.759,70.22
DNH,short-term (1 day),RandomForest,1.7376,2.8051,29.66
Delhi,medium-term (7 day),XGBoost,18.6859,25.7652,22.9
Delhi,short-term (1 day),RandomForest,10.0455,14.8107,12.92
Goa,medium-term (7 day),RandomForest,1.2798,1.7343,13.65
Goa,short-term (1 day),XGBoost,1.0995,1.4403,10.81
Gujarat,medium-term (7 day),RandomForest,30.9415,40.1168,10.03
Gujarat,short-term (1 day),RandomForest,21.3716,30.6568,7.01
HP,medium-term (7 day),RandomForest,3.4291,5.4059,18.39
HP,short-term (1 day),XGBoost,2.1878,3.3598,10.44
Haryana,medium-term (7 day),RandomForest,20.5736,29.1083,16.43
Haryana,short-term (1 day),RandomForest,13.2253,20.8375,10.69
JandK,medium-term (7 day),RandomForest,4.2229,5.2327,9.84
JandK,short-term (1 day),RandomForest,3.7149,5.09,8.97
Jharkhand,medium-term (7 day),XGBoost,1.3972,1.8496,5.89
Jharkhand,short-term (1 day),RandomForest,1.3221,1.7985,5.73
Karnataka,medium-term (7 day),XGBoost,20.7029,26.2032,10.79
Karnataka,short-term (1 day),RandomForest,15.0907,21.1839,8.05
Kerala,medium-term (7 day),XGBoost,5.8243,7.0313,8.26
Kerala,short-term (1 day),RandomForest,3.9677,5.0051,5.57
MP,medium-term (7 day),XGBoost,26.9739,33.4276,12.56
MP,short-term (1 day),RandomForest,16.4555,23.2518,8.05
Maharashtra,medium-term (7 day),XGBoost,29.7378,36.779,7.02
Maharashtra,short-term (1 day),RandomForest,19.2961,25.1292,4.62
Manipur,medium-term (7 day),XGBoost,0.1766,0.2123,7.08
Manipur,short-term (1 day),RandomForest,0.1659,0.1923,6.59
Meghalaya,medium-term (7 day),RandomForest,0.6042,0.7463,11.62
Meghalaya,short-term (1 day),XGBoost,0.517,0.6831,10.26
Mizoram,medium-term (7 day),RandomForest,0.1171,0.148,7.11
Mizoram,short-term (1 day),RandomForest,0.1109,0.1448,6.59
Nagaland,medium-term (7 day),XGBoost,0.0985,0.1216,4.65
Nagaland,short-term (1 day),XGBoost,0.1177,0.1413,5.59
Odisha,medium-term (7 day),RandomForest,8.0329,10.0435,11.26
Odisha,short-term (1 day),RandomForest,8.5565,10.323,11.85
Pondy,medium-term (7 day),RandomForest,0.9498,1.1737,13.74
Pondy,short-term (1 day),RandomForest,0.6505,0.8619,9.0
Punjab,medium-term (7 day),XGBoost,33.9667,45.977,27.53
Punjab,short-term (1 day),RandomForest,18.2804,28.173,14.92
Rajasthan,medium-term (7 day),RandomForest,20.243,25.8054,9.91
Rajasthan,short-term (1 day),RandomForest,18.1112,24.106,8.79
Sikkim,medium-term (7 day),RandomForest,0.2603,0.3286,22.8
Sikkim,short-term (1 day),RandomForest,0.2299,0.3066,23.68
Tamil_Nadu,medium-term (7 day),RandomForest,26.2532,33.0158,9.1
Tamil_Nadu,short-term (1 day),RandomForest,22.1257,28.2707,7.37
Telangana,medium-term (7 day),RandomForest,26.2762,33.9685,16.17
Telangana,short-term (1 day),RandomForest,18.12,22.1309,10.64
Tripura,medium-term (7 day),RandomForest,0.6591,0.8025,18.01
Tripura,short-term (1 day),RandomForest,0.5307,0.6502,13.76
UP,medium-term (7 day),XGBoost,48.6325,62.526,16.24
UP,short-term (1 day),XGBoost,32.9457,45.3866,11.22
Uttarakhand,medium-term (7 day),RandomForest,5.2147,7.2144,16.85
Uttarakhand,short-term (1 day),RandomForest,3.5644,4.5858,10.69
West_Bengal,medium-term (7 day),RandomForest,26.3178,31.7793,20.42
West_Bengal,short-term (1 day),RandomForest,16.5822,20.4746,12.39
