node,horizon,model,MAE,RMSE,MAPE_%
Andhra_Pradesh,short-term (1 day),RandomForest,8.5711,12.261,5.07
Andhra_Pradesh,short-term (1 day),XGBoost,8.5247,11.9645,5.05
Andhra_Pradesh,medium-term (7 day),RandomForest,10.9978,13.0144,6.45
Andhra_Pradesh,medium-term (7 day),XGBoost,11.6003,13.9179,6.74
Arunachal_Pradesh,short-term (1 day),RandomForest,0.1923,0.2469,9.84
Arunachal_Pradesh,short-term (1 day),XGBoost,0.1994,0.2636,10.26
Arunachal_Pradesh,medium-term (7 day),RandomForest,0.2292,0.299,11.76
Arunachal_Pradesh,medium-term (7 day),XGBoost,0.2083,0.2779,10.7
Assam,short-term (1 day),RandomForest,2.0764,2.8891,8.89
Assam,short-term (1 day),XGBoost,2.0682,2.7322,8.82
Assam,medium-term (7 day),RandomForest,3.5349,4.1913,15.32
Assam,medium-term (7 day),XGBoost,3.3109,4.0119,14.24
Bihar,short-term (1 day),RandomForest,9.1201,12.5803,11.65
Bihar,short-term (1 day),XGBoost,9.735,13.6036,12.36
Bihar,medium-term (7 day),RandomForest,11.903,14.7893,15.17
Bihar,medium-term (7 day),XGBoost,12.3822,15.4887,15.71
Chandigarh,short-term (1 day),RandomForest,0.4689,0.6377,12.72
Chandigarh,short-term (1 day),XGBoost,0.451,0.6302,11.97
Chandigarh,medium-term (7 day),RandomForest,0.5586,0.7225,15.59
Chandigarh,medium-term (7 day),XGBoost,0.5314,0.7021,14.54
Chhattisgarh,short-term (1 day),RandomForest,6.4132,7.8559,8.05
Chhattisgarh,short-term (1 day),XGBoost,6.8662,8.404,8.52
Chhattisgarh,medium-term (7 day),RandomForest,7.5474,9.3239,9.67
Chhattisgarh,medium-term (7 day),XGBoost,7.3887,9.257,9.41
DNH,short-term (1 day),RandomForest,1.7376,2.8051,29.66
DNH,short-term (1 day),XGBoost,1.8269,2.8704,26.83
DNH,medium-term (7 day),RandomForest,4.0915,5.759,70.22
DNH,medium-term (7 day),XGBoost,4.3031,6.1407,74.54
Delhi,short-term (1 day),RandomForest,10.0455,14.8107,12.92
Delhi,short-term (1 day),XGBoost,11.0508,14.9001,14.26
Delhi,medium-term (7 day),RandomForest,20.0499,26.9172,24.27
Delhi,medium-term (7 day),XGBoost,18.6859,25.7652,22.9
Goa,short-term (1 day),RandomForest,1.1311,1.5098,11.02
Goa,short-term (1 day),XGBoost,1.0995,1.4403,10.81
Goa,medium-term (7 day),RandomForest,1.2798,1.7343,13.65
Goa,medium-term (7 day),XGBoost,1.3839,1.8526,14.63
Gujarat,short-term (1 day),RandomForest,21.3716,30.6568,7.01
Gujarat,short-term (1 day),XGBoost,24.2372,33.1719,7.93
Gujarat,medium-term (7 day),RandomForest,30.9415,40.1168,10.03
Gujarat,medium-term (7 day),XGBoost,32.0609,40.7557,10.38
HP,short-term (1 day),RandomForest,2.1949,3.3686,10.75
HP,short-term (1 day),XGBoost,2.1878,3.3598,10.44
HP,medium-term (7 day),RandomForest,3.4291,5.4059,18.39
HP,medium-term (7 day),XGBoost,3.5414,5.452,18.74
Haryana,short-term (1 day),RandomForest,13.2253,20.8375,10.69
Haryana,short-term (1 day),XGBoost,13.8475,20.4353,11.16
Haryana,medium-term (7 day),RandomForest,20.5736,29.1083,16.43
Haryana,medium-term (7 day),XGBoost,22.3491,30.3282,17.77
JandK,short-term (1 day),RandomForest,3.7149,5.09,8.97
JandK,short-term (1 day),XGBoost,3.924,5.208,9.45
JandK,medium-term (7 day),RandomForest,4.2229,5.2327,9.84
JandK,medium-term (7 day),XGBoost,4.4083,5.5281,10.3
Jharkhand,short-term (1 day),RandomForest,1.3221,1.7985,5.73
Jharkhand,short-term (1 day),XGBoost,1.3501,1.8162,5.82
Jharkhand,medium-term (7 day),RandomForest,1.4347,1.8623,6.08
