feature,value,shap_impact
lag_1h,1.5889666666666666,0.33866614
hour_sin,-0.8660254037844385,0.1709243
month_cos,0.8660254037844384,0.1370638
lag_168h,0.5244333333333333,-0.08732389
is_weekend,0.0,-0.07855739
hour_cos,-0.5000000000000004,-0.0706697
roll_std_24h,1.0622392412613977,0.048027813
temperature_c,15.6,-0.028037341
lag_24h,0.4494999999999999,-0.01967592
humidity,67.0,0.018603351
month_sin,-0.5000000000000004,-0.0072658607
roll_mean_24h,1.478532277777778,0.006721801
roll_mean_7d,1.1579925317460318,0.005315585
is_holiday,0.0,0.00018585351
