feature,value,shap_impact
lag_1d,408.3,-11.482237
roll_mean_30d,401.4866666666666,6.587836
roll_mean_7d,432.2285714285714,5.5678296
lag_7d,443.0,-4.662884
temperature_c,33.0,4.1050982
roll_std_7d,13.196554384347506,-3.994735
humidity,37.0,1.7013773
lag_30d,425.1,-1.488045
doy_sin,0.9427611433904208,1.0983027
dow_cos,1.0,0.9410354
doy_cos,-0.3334687789181868,-0.53316635
month_sin,0.8660254037844387,0.18660034
dow_sin,0.0,0.10436308
month_cos,-0.4999999999999998,0.060705014
is_holiday,0.0,-0.037522476
is_weekend,0.0,-0.006593408
